image,A,B,C,D
ISIC_0012803.jpg,0.4,21.43,0.16,0.69
ISIC_0013089.jpg,0.14,1.22,0.15,0.61
ISIC_0011229.jpg,0.43,10.51,0.3,0.79
ISIC_0015279.jpg,0.26,1.26,0.29,0.67
ISIC_0011230.jpg,0.49,2.59,0.29,0.65
ISIC_0015174.jpg,0.18,21.91,0.32,0.72
ISIC_0015363.jpg,0.17,1.16,0.18,0.7
ISIC_0010466.jpg,0.18,2.64,0.16,0.7
ISIC_0011390.jpg,0.28,1.41,0.15,0.54
ISIC_0013106.jpg,0.26,1.71,0.23,0.74
ISIC_0014921.jpg,0.13,22.51,0.33,0.63
ISIC_0011339.jpg,0.27,3.19,0.34,0.64
ISIC_0015593.jpg,0.14,1.22,0.29,0.69
ISIC_0014920.jpg,0.1,1.76,0.33,0.72
ISIC_0016071.jpg,0.24,8.51,0.12,0.71
ISIC_0001299.jpg,0.2,2.16,0.07,0.79
ISIC_0000332.jpg,0.14,3.95,0.27,0.66
ISIC_0010011.jpg,0.16,1.21,0.12,0.7
ISIC_0013891.jpg,0.1,1.16,0.24,0.63
ISIC_0000484.jpg,0.28,1.52,0.21,0.8
ISIC_0013394.jpg,0.14,1.7,0.17,0.62
ISIC_0013205.jpg,0.18,1.18,0.2,0.64
ISIC_0013015.jpg,0.11,1.68,0.11,0.69
ISIC_0000554.jpg,0.35,4.34,0.15,0.69
ISIC_0012177.jpg,0.14,1.62,0.26,0.74
ISIC_0015276.jpg,0.21,17.33,0.27,0.68
ISIC_0001385.jpg,0.13,1.98,0.09,0.78
ISIC_0013998.jpg,0.14,1.24,0.06,0.67
ISIC_0010319.jpg,0.24,1.24,0.18,0.7
ISIC_0014836.jpg,0.1,10.39,0.4,0.66
ISIC_0014931.jpg,0.31,2.27,0.19,0.7
ISIC_0013173.jpg,0.08,1.2,0.18,0.62
ISIC_0012108.jpg,0.21,1.83,0.14,0.62
ISIC_0009954.jpg,0.17,1.22,0.2,0.61
ISIC_0014714.jpg,0.16,1.83,0.24,0.8
ISIC_0000482.jpg,0.12,3.19,0.26,0.73
ISIC_0012487.jpg,0.45,11.85,0.09,0.7
ISIC_0009979.jpg,0.23,1.19,0.34,0.62
ISIC_0013249.jpg,0.15,1.19,0.16,0.64
ISIC_0011098.jpg,0.17,1.28,0.31,0.71
ISIC_0012878.jpg,0.14,1.73,0.08,0.66
ISIC_0001286.jpg,0.34,7.24,0.14,0.74
ISIC_0015016.jpg,0.21,27.49,0.22,0.7
ISIC_0010326.jpg,0.22,1.24,0.16,0.68
ISIC_0000183.jpg,0.24,1.26,0.23,0.71
ISIC_0013523.jpg,0.15,1.72,0.2,0.68
ISIC_0014814.jpg,0.19,18.45,0.32,0.72
ISIC_0011171.jpg,0.2,1.86,0.34,0.69
ISIC_0000442.jpg,0.3,1.35,0.24,0.75
ISIC_0011301.jpg,0.08,1.17,0.29,0.67
ISIC_0012521.jpg,0.22,1.77,0.11,0.67
ISIC_0014643.jpg,0.35,35.12,0.08,0.75
ISIC_0009951.jpg,0.18,1.2,0.1,0.65
ISIC_0000539.jpg,0.16,3.63,0.3,0.77
ISIC_0012216.jpg,0.15,1.26,0.07,0.67
ISIC_0013087.jpg,0.09,4.12,0.21,0.63
ISIC_0016068.jpg,0.33,1.38,0.18,0.68
ISIC_0011204.jpg,0.14,1.26,0.22,0.7
ISIC_0016005.jpg,0.2,1.19,0.18,0.65
ISIC_0013733.jpg,0.29,11.43,0.1,0.73
ISIC_0003728.jpg,0.17,5.24,0.1,0.6
ISIC_0011120.jpg,0.16,1.25,0.34,0.85
ISIC_0014854.jpg,0.15,27.24,0.29,0.67
ISIC_0010488.jpg,0.14,1.26,0.12,0.69
ISIC_0011348.jpg,0.1,1.16,0.18,0.79
ISIC_0015311.jpg,0.21,65.48,0.24,0.72
ISIC_0012690.jpg,0.17,1.81,0.14,0.72
ISIC_0010244.jpg,0.22,1.27,0.27,0.72
ISIC_0012288.jpg,0.19,1.86,0.14,0.67
ISIC_0011163.jpg,0.25,1.26,0.37,0.71
ISIC_0015030.jpg,0.15,45.72,0.29,0.71
ISIC_0000378.jpg,0.15,1.22,0.19,0.66
ISIC_0009942.jpg,0.07,1.15,0.23,0.63
ISIC_0010589.jpg,0.18,1.3,0.27,0.66
ISIC_0012182.jpg,0.13,1.65,0.23,0.67
ISIC_0009967.jpg,0.11,2.34,0.16,0.71
ISIC_0009889.jpg,0.23,2.33,0.24,0.64
ISIC_0000091.jpg,0.06,1.16,0.08,0.66
ISIC_0016033.jpg,0.16,10.98,0.12,0.61
ISIC_0000283.jpg,0.25,2.56,0.38,0.64
ISIC_0013140.jpg,0.24,1.71,0.16,0.64
ISIC_0015009.jpg,0.04,3.33,0.15,0.76
ISIC_0011218.jpg,0.11,1.13,0.21,0.62
ISIC_0000088.jpg,0.25,12.5,0.32,0.68
ISIC_0016016.jpg,0.11,1.19,0.13,0.67
ISIC_0007156.jpg,0.05,1.13,0.26,0.63
ISIC_0012284.jpg,0.23,1.97,0.2,0.64
ISIC_0015496.jpg,0.08,1.69,0.47,0.67
ISIC_0000224.jpg,0.17,1.26,0.33,0.68
ISIC_0014225.jpg,0.32,9.51,0.13,0.69
ISIC_0014164.jpg,0.16,2.01,0.09,0.72
ISIC_0013748.jpg,0.22,1.9,0.11,0.61
ISIC_0014983.jpg,0.17,1.9,0.31,0.68
ISIC_0007796.jpg,0.1,1.16,0.19,0.67
ISIC_0011360.jpg,0.1,1.18,0.25,0.79
ISIC_0014222.jpg,0.36,1.3,0.13,0.68
ISIC_0014316.jpg,0.24,2.09,0.09,0.67
ISIC_0009883.jpg,0.25,2.85,0.28,0.58
ISIC_0010862.jpg,0.11,1.18,0.44,0.61
ISIC_0014651.jpg,0.2,1.79,0.11,0.67
ISIC_0015232.jpg,0.09,1.16,0.36,0.64
ISIC_0009914.jpg,0.18,2.59,0.24,0.76
ISIC_0000510.jpg,0.27,1.32,0.26,0.62
ISIC_0010452.jpg,0.17,4.33,0.21,0.68
ISIC_0015056.jpg,0.26,29,0.17,0.73
ISIC_0000143.jpg,0.1,1.22,0.31,0.71
ISIC_0013399.jpg,0.14,1.2,0.14,0.66
ISIC_0000328.jpg,0.22,1.22,0.18,0.63
ISIC_0015139.jpg,0.12,10.86,0.31,0.66
ISIC_0011298.jpg,0.16,1.86,0.28,0.69
ISIC_0012417.jpg,0.27,2.17,0.09,0.66
ISIC_0014453.jpg,0.09,1.68,0.08,0.7
ISIC_0000500.jpg,0.16,1.34,0.21,0.76
ISIC_0000420.jpg,0.16,1.68,0.26,0.72
ISIC_0013689.jpg,0.13,1.67,0.13,0.68
ISIC_0014778.jpg,0.12,1.7,0.26,0.68
ISIC_0013224.jpg,0.23,1.68,0.16,0.67
ISIC_0013053.jpg,0.25,1.67,0.07,0.66
ISIC_0015218.jpg,0.17,41.56,0.4,0.65
ISIC_0013886.jpg,0.36,4.74,0.2,0.63
ISIC_0012089.jpg,0.44,1.54,0.14,0.73
ISIC_0000080.jpg,0.07,2.44,0.27,0.64
ISIC_0012930.jpg,0.51,2.15,0.23,0.64
ISIC_0014173.jpg,0.31,19.54,0.22,0.67
ISIC_0000013.jpg,0.1,1.93,0.42,0.66
ISIC_0015416.jpg,0.25,1.25,0.29,0.75
ISIC_0014346.jpg,0.19,1.77,0.13,0.67
ISIC_0014394.jpg,0.15,1.9,0.16,0.72
ISIC_0015274.jpg,0.24,1.2,0.23,0.89
ISIC_0003582.jpg,0.12,1.23,0.25,0.7
ISIC_0001367.jpg,0.17,2.59,0.16,0.68
ISIC_0013796.jpg,0.15,1.55,0.19,0.71
ISIC_0012901.jpg,0.19,1.76,0.26,0.67
ISIC_0000492.jpg,0.19,4.8,0.08,0.67
ISIC_0000069.jpg,0.17,2.71,0.17,0.68
ISIC_0000522.jpg,0.49,9.6,0.14,0.76
ISIC_0012222.jpg,0.25,1.58,0.21,0.68
ISIC_0009956.jpg,0.12,2.34,0.21,0.72
ISIC_0000493.jpg,0.26,2.84,0.23,0.78
ISIC_0010226.jpg,0.11,1.17,0.16,0.66
ISIC_0013747.jpg,0.08,1.14,0.12,0.62
ISIC_0013007.jpg,0.14,1.76,0.16,0.65
ISIC_0011158.jpg,0.12,1.18,0.22,0.71
ISIC_0010490.jpg,0.15,1.19,0.13,0.61
ISIC_0013572.jpg,0.24,1.89,0.07,0.72
ISIC_0015032.jpg,0.19,1.83,0.25,0.66
ISIC_0000385.jpg,0.14,7.39,0.24,0.61
ISIC_0013806.jpg,0.08,1.6,0.13,0.66
ISIC_0001242.jpg,0.14,2.67,0.11,0.71
ISIC_0012865.jpg,0.11,1.84,0.14,0.67
ISIC_0000555.jpg,0.25,3.19,0.1,0.74
ISIC_0000287.jpg,0.24,3.14,0.23,0.69
ISIC_0013667.jpg,0.27,2.1,0.12,0.66
ISIC_0012105.jpg,0.17,1.68,0.25,0.68
ISIC_0011132.jpg,0.07,1.15,0.2,0.62
ISIC_0014081.jpg,0.17,2.01,0.11,0.79
ISIC_0012673.jpg,0.15,1.81,0.16,0.75
ISIC_0000323.jpg,0.15,1.23,0.12,0.59
ISIC_0014740.jpg,0.18,29.94,0.19,0.67
ISIC_0000023.jpg,0.15,2.58,0.17,0.63
ISIC_0000490.jpg,0.18,1.27,0.2,0.63
ISIC_0012464.jpg,0.19,1.19,0.19,0.6
ISIC_0012720.jpg,0.25,1.95,0.12,0.64
ISIC_0000498.jpg,0.14,1.35,0.25,0.72
ISIC_0010238.jpg,0.12,1.15,0.23,0.65
ISIC_0010863.jpg,0.19,1.42,0.24,0.66
ISIC_0014117.jpg,0.32,11.61,0.13,0.62
ISIC_0012245.jpg,0.13,1.18,0.05,0.64
ISIC_0000341.jpg,0.19,1.37,0.25,0.69
ISIC_0014955.jpg,0.15,22.77,0.22,0.64
ISIC_0015108.jpg,0.33,2.2,0.22,0.68
ISIC_0013526.jpg,0.17,2.09,0.28,0.69
ISIC_0000016.jpg,0.21,1.46,0.28,0.61
ISIC_0016066.jpg,0.16,1.16,0.1,0.61
ISIC_0014800.jpg,0.26,11.45,0.17,0.64
ISIC_0014652.jpg,0.07,1.24,0.22,0.76
ISIC_0000190.jpg,0.21,1.43,0.36,0.69
ISIC_0013712.jpg,0.13,1.7,0.1,0.64
ISIC_0013789.jpg,0.2,1.75,0.16,0.7
ISIC_0000506.jpg,0.07,1.16,0.2,0.63
ISIC_0014473.jpg,0.2,1.21,0.16,0.73
ISIC_0012495.jpg,0.14,1.69,0.05,0.68
ISIC_0002206.jpg,0.08,1.13,0.08,0.63
ISIC_0014839.jpg,0.19,2.06,0.24,0.66
ISIC_0000900.jpg,0.1,1.2,0.08,0.68
ISIC_0011097.jpg,0.21,2.83,0.18,0.67
ISIC_0012178.jpg,0.52,51.45,0.08,0.69
ISIC_0014994.jpg,0.12,12.67,0.21,0.63
ISIC_0014066.jpg,0.14,2.01,0.07,0.77
ISIC_0010256.jpg,0.15,1.61,0.25,0.61
ISIC_0016006.jpg,0.11,1.16,0.13,0.63
ISIC_0014915.jpg,0.21,2.33,0.26,0.69
ISIC_0000139.jpg,0.11,1.21,0.25,0.64
ISIC_0014001.jpg,0.12,1.76,0.07,0.63
ISIC_0011225.jpg,0.19,2.32,0.2,0.66
ISIC_0001185.jpg,0.15,1.19,0.1,0.68
ISIC_0013311.jpg,0.09,1.58,0.15,0.62
ISIC_0011359.jpg,0.3,3.64,0.13,0.75
ISIC_0014723.jpg,0.13,1.84,0.22,0.65
ISIC_0012663.jpg,0.15,1.7,0.27,0.64
ISIC_0001254.jpg,0.13,2.44,0.15,0.66
ISIC_0014973.jpg,0.12,1.2,0.35,0.71
ISIC_0010448.jpg,0.19,1.15,0.11,0.71
ISIC_0012990.jpg,0.24,1.78,0.25,0.65
ISIC_0010350.jpg,0.16,4.93,0.28,0.58
ISIC_0012369.jpg,0.16,1.2,0.08,0.65
ISIC_0014876.jpg,0.2,1.2,0.38,0.64
ISIC_0014830.jpg,0.14,1.49,0.21,0.65
ISIC_0011304.jpg,0.17,3.1,0.24,0.71
ISIC_0013346.jpg,0.28,1.3,0.1,0.65
ISIC_0014708.jpg,0.19,2.01,0.24,0.62
ISIC_0000021.jpg,0.35,5.48,0.15,0.61
ISIC_0009931.jpg,0.24,3.79,0.25,0.64
ISIC_0010607.jpg,0.23,2.44,0.13,0.69
ISIC_0014217.jpg,0.25,2.33,0.12,0.72
ISIC_0010333.jpg,0.09,1.2,0.37,0.7
ISIC_0015464.jpg,0.23,1.25,0.35,0.67
ISIC_0015998.jpg,0.23,18.27,0.23,0.68
ISIC_0000213.jpg,0.23,2.22,0.3,0.7
ISIC_0011393.jpg,0.35,4.78,0.14,0.62
ISIC_0009921.jpg,0.2,1.23,0.23,0.73
ISIC_0013635.jpg,0.18,1.93,0.08,0.61
ISIC_0010497.jpg,0.13,1.18,0.19,0.68
ISIC_0012395.jpg,0.32,7.94,0.13,0.64
ISIC_0012786.jpg,0.14,1.15,0.11,0.61
ISIC_0000319.jpg,0.26,1.27,0.26,0.67
ISIC_0000119.jpg,0.17,3.69,0.27,0.67
ISIC_0016029.jpg,0.15,1.19,0.04,0.67
ISIC_0005666.jpg,0.1,1.23,0.1,0.73
ISIC_0000059.jpg,0.22,1.35,0.35,0.66
ISIC_0014919.jpg,0.12,1.82,0.2,0.67
ISIC_0014802.jpg,0.18,5.75,0.33,0.59
ISIC_0009948.jpg,0.1,1.13,0.16,0.7
ISIC_0012390.jpg,0.36,1.58,0.06,0.75
ISIC_0016019.jpg,0.12,1.18,0.16,0.61
ISIC_0000338.jpg,0.25,3.62,0.36,0.68
ISIC_0011211.jpg,0.24,2,0.2,0.74
ISIC_0014724.jpg,0.18,1.94,0.25,0.79
ISIC_0006800.jpg,0.12,4.39,0.14,0.66
ISIC_0010587.jpg,0.1,1.84,0.32,0.7
ISIC_0000127.jpg,0.1,1.29,0.21,0.67
ISIC_0014790.jpg,0.49,1.29,0.24,0.9
ISIC_0015041.jpg,0.24,12.66,0.32,0.7
ISIC_0011367.jpg,0.09,1.14,0.13,0.61
ISIC_0009947.jpg,0.16,1.17,0.22,0.69
ISIC_0000025.jpg,0.26,6.03,0.13,0.6
ISIC_0015008.jpg,0.38,16.32,0.24,0.93
ISIC_0014029.jpg,0.12,1.87,0.16,0.67
ISIC_0012510.jpg,0.39,1.24,0.1,0.89
ISIC_0001960.jpg,0.4,20.23,0.06,0.73
ISIC_0014548.jpg,0.07,1.19,0.07,0.73
ISIC_0014248.jpg,0.37,9.01,0.07,0.65
ISIC_0000403.jpg,0.23,3,0.15,0.68
ISIC_0012324.jpg,0.12,1.74,0.14,0.67
ISIC_0014857.jpg,0.15,1.81,0.21,0.69
ISIC_0000379.jpg,0.2,1.5,0.26,0.75
ISIC_0000233.jpg,0.06,1.81,0.23,0.79
ISIC_0000030.jpg,0.11,1.26,0.39,0.65
ISIC_0013606.jpg,0.24,1.68,0.13,0.73
ISIC_0013833.jpg,0.31,1.28,0.1,0.83
ISIC_0012156.jpg,0.23,1.9,0.16,0.74
ISIC_0013364.jpg,0.15,1.69,0.18,0.66
ISIC_0010445.jpg,0.26,1.45,0.19,0.81
ISIC_0015062.jpg,0.06,4.88,0.36,0.84
ISIC_0013562.jpg,0.14,1.68,0.09,0.66
ISIC_0009937.jpg,0.15,1.35,0.19,0.75
ISIC_0000314.jpg,0.14,3.18,0.29,0.61
ISIC_0013169.jpg,0.25,1.2,0.17,0.68
ISIC_0012538.jpg,0.24,1.93,0.17,0.74
ISIC_0010327.jpg,0.1,1.14,0.17,0.67
ISIC_0015133.jpg,0.17,1.17,0.45,0.63
ISIC_0005639.jpg,0.08,1.17,0.16,0.69
ISIC_0014773.jpg,0.27,22.44,0.29,0.69
ISIC_0009898.jpg,0.28,1.31,0.31,0.69
ISIC_0010592.jpg,0.25,2.8,0.27,0.67
ISIC_0000131.jpg,0.03,1.61,0.22,0.61
ISIC_0013129.jpg,0.06,1.14,0.13,0.62
ISIC_0011095.jpg,0.3,1.32,0.33,0.69
ISIC_0010187.jpg,0.24,3.48,0.26,0.68
ISIC_0013637.jpg,0.12,1.71,0.06,0.64
ISIC_0000392.jpg,0.12,1.2,0.14,0.66
ISIC_0010041.jpg,0.37,1.2,0.13,0.79
ISIC_0000358.jpg,0.15,1.13,0.2,0.63
ISIC_0015144.jpg,0.07,1.7,0.26,0.65
ISIC_0012203.jpg,0.21,1.64,0.18,0.67
ISIC_0011295.jpg,0.18,1.25,0.3,0.74
ISIC_0015946.jpg,0.23,7.34,0.16,0.76
ISIC_0013581.jpg,0.24,1.85,0.07,0.77
ISIC_0010169.jpg,0.37,1.24,0.29,0.86
ISIC_0010183.jpg,0.21,5.71,0.23,0.62
ISIC_0000122.jpg,0.1,1.2,0.18,0.69
ISIC_0000150.jpg,0.34,1.6,0.28,0.66
ISIC_0000521.jpg,0.08,1.37,0.24,0.81
ISIC_0015625.jpg,0.15,29.84,0.28,0.63
ISIC_0001190.jpg,0.14,1.2,0.12,0.64
ISIC_0000507.jpg,0.14,1.73,0.19,0.69
ISIC_0015510.jpg,0.14,18.35,0.25,0.58
ISIC_0000101.jpg,0.09,2.26,0.18,0.65
ISIC_0014658.jpg,0.17,1.86,0.35,0.67
ISIC_0013147.jpg,0.12,1.76,0.17,0.75
ISIC_0013691.jpg,0.1,1.79,0.08,0.62
ISIC_0015962.jpg,0.24,8.71,0.14,0.65
ISIC_0014577.jpg,0.25,2.05,0.06,0.63
ISIC_0014879.jpg,0.1,7.14,0.34,0.62
ISIC_0015972.jpg,0.17,8.88,0.12,0.61
ISIC_0014912.jpg,0.64,216.6,0.26,0.88
ISIC_0012253.jpg,0.18,1.84,0.04,0.7
ISIC_0016014.jpg,0.21,4.94,0.14,0.68
ISIC_0000457.jpg,0.12,3.82,0.19,0.66
ISIC_0012311.jpg,0.13,1.29,0.09,0.7
ISIC_0000184.jpg,0.16,1.23,0.29,0.67
ISIC_0014080.jpg,0.19,1.78,0.16,0.74
ISIC_0013491.jpg,0.12,1.73,0.16,0.62
ISIC_0009918.jpg,0.22,1.23,0.28,0.65
ISIC_0013835.jpg,0.1,1.21,0.05,0.7
ISIC_0012793.jpg,0.2,1.82,0.17,0.76
ISIC_0014834.jpg,0.14,1.82,0.21,0.65
ISIC_0010047.jpg,0.14,1.32,0.09,0.73
ISIC_0014765.jpg,0.24,76.78,0.24,0.69
ISIC_0014360.jpg,0.29,2,0.11,0.65
ISIC_0000481.jpg,0.36,1.51,0.22,0.84
ISIC_0012666.jpg,0.19,1.6,0.2,0.66
ISIC_0000282.jpg,0.3,1.33,0.18,0.62
ISIC_0015241.jpg,0.24,21.33,0.26,0.69
ISIC_0014713.jpg,0.17,1.91,0.32,0.66
ISIC_0000290.jpg,0.18,1.44,0.29,0.69
ISIC_0010024.jpg,0.18,1.28,0.22,0.74
ISIC_0013652.jpg,0.35,1.51,0.1,0.66
ISIC_0010071.jpg,0.13,1.27,0.28,0.81
ISIC_0012316.jpg,0.14,1.72,0.2,0.66
ISIC_0000329.jpg,0.09,1.17,0.28,0.62
ISIC_0000413.jpg,0.3,1.82,0.15,0.74
ISIC_0009992.jpg,0.24,1.26,0.28,0.71
ISIC_0013685.jpg,0.13,1.4,0.12,0.48
ISIC_0006651.jpg,0.22,3.83,0.11,0.62
ISIC_0015270.jpg,0.1,1.18,0.37,0.63
ISIC_0015060.jpg,0.14,1.16,0.31,0.66
ISIC_0014324.jpg,0.14,1.29,0.09,0.77
ISIC_0010006.jpg,0.09,1.2,0.32,0.69
ISIC_0013602.jpg,0.2,1.2,0.13,0.68
ISIC_0011300.jpg,0.34,1.21,0.41,0.88
ISIC_0012126.jpg,0.11,1.72,0.24,0.73
ISIC_0010225.jpg,0.27,3.64,0.19,0.67
ISIC_0000469.jpg,0.26,7.83,0.17,0.68
ISIC_0013288.jpg,0.3,1.85,0.09,0.63
ISIC_0000354.jpg,0.2,4.56,0.21,0.72
ISIC_0000226.jpg,0.12,1.21,0.39,0.65
ISIC_0012374.jpg,0.14,2.17,0.12,0.74
ISIC_0014475.jpg,0.22,6.37,0.13,0.69
ISIC_0011373.jpg,0.43,1.3,0.19,0.88
ISIC_0011386.jpg,0.13,1.16,0.45,0.62
ISIC_0014933.jpg,0.08,1.65,0.32,0.65
ISIC_0000491.jpg,0.13,3.76,0.21,0.68
ISIC_0000355.jpg,0.16,1.19,0.19,0.68
ISIC_0013962.jpg,0.12,1.56,0.09,0.68
ISIC_0010340.jpg,0.21,2.83,0.2,0.76
ISIC_0001128.jpg,0.11,1.25,0.27,0.71
ISIC_0000015.jpg,0.34,4.68,0.26,0.64
ISIC_0006982.jpg,0.12,1.25,0.09,0.69
ISIC_0000027.jpg,0.14,4.08,0.18,0.64
ISIC_0014760.jpg,0.09,1.77,0.24,0.8
ISIC_0012669.jpg,0.13,1.19,0.19,0.67
ISIC_0010060.jpg,0.23,1.31,0.12,0.72
ISIC_0011168.jpg,0.27,2.3,0.21,0.67
ISIC_0012358.jpg,0.33,18.07,0.1,0.72
ISIC_0015485.jpg,0.18,18.89,0.3,0.71
ISIC_0013291.jpg,0.24,16.85,0.15,0.66
ISIC_0014286.jpg,0.14,1.66,0.18,0.69
ISIC_0008207.jpg,0.19,5.34,0.15,0.69
ISIC_0014503.jpg,0.07,1.12,0.13,0.63
ISIC_0009933.jpg,0.14,1.16,0.37,0.6
ISIC_0011143.jpg,0.26,1.56,0.22,0.68
ISIC_0013805.jpg,0.12,1.18,0.15,0.64
ISIC_0010058.jpg,0.2,1.19,0.21,0.63
ISIC_0000185.jpg,0.12,1.72,0.15,0.69
ISIC_0010360.jpg,0.2,1.36,0.2,0.7
ISIC_0000536.jpg,0.37,2.01,0.19,0.63
ISIC_0014989.jpg,0.17,1.89,0.32,0.66
ISIC_0010248.jpg,0.04,1.14,0.13,0.67
ISIC_0013739.jpg,0.19,1.31,0.14,0.71
ISIC_0015023.jpg,0.06,1.17,0.45,0.66
ISIC_0014958.jpg,0.31,1.5,0.45,0.76
ISIC_0002488.jpg,0.21,2.75,0.07,0.67
ISIC_0000480.jpg,0.25,9.27,0.21,0.65
ISIC_0003559.jpg,0.13,1.23,0.16,0.66
ISIC_0015142.jpg,0.23,1.19,0.36,0.7
ISIC_0008785.jpg,0.12,1.19,0.13,0.63
ISIC_0015034.jpg,0.08,5.99,0.25,0.66
ISIC_0015037.jpg,0.12,31.35,0.27,0.67
ISIC_0014255.jpg,0.19,1.2,0.16,0.66
ISIC_0015219.jpg,0.1,1.83,0.29,0.65
ISIC_0000189.jpg,0.19,1.2,0.25,0.69
ISIC_0009888.jpg,0.18,4.02,0.18,0.64
ISIC_0011121.jpg,0.41,1.63,0.27,0.93
ISIC_0013498.jpg,0.23,1.92,0.24,0.68
ISIC_0012230.jpg,0.2,1.67,0.15,0.66
ISIC_0013096.jpg,0.2,10.34,0.21,0.7
ISIC_0000082.jpg,0.18,2.25,0.29,0.68
ISIC_0012484.jpg,0.1,1.21,0.1,0.61
ISIC_0015260.jpg,0.16,2.03,0.27,0.73
ISIC_0012309.jpg,0.27,1.8,0.15,0.7
ISIC_0005555.jpg,0.19,1.3,0.15,0.69
ISIC_0012272.jpg,0.15,1.25,0.13,0.76
ISIC_0012706.jpg,0.13,1.23,0.15,0.67
ISIC_0015245.jpg,0.09,1.17,0.2,0.64
ISIC_0011326.jpg,0.23,1.5,0.15,0.75
ISIC_0002806.jpg,0.12,8.2,0.08,0.7
ISIC_0014327.jpg,0.33,1.47,0.15,0.63
ISIC_0015566.jpg,0.13,1.21,0.36,0.68
ISIC_0009860.jpg,0.34,3.08,0.16,0.75
ISIC_0013034.jpg,0.28,1.47,0.07,0.6
ISIC_0013815.jpg,0.21,2.02,0.15,0.61
ISIC_0013578.jpg,0.68,3.54,0.11,0.73
ISIC_0011081.jpg,0.18,1.19,0.12,0.67
ISIC_0011144.jpg,0.26,1.32,0.34,0.68
ISIC_0001372.jpg,0.13,1.79,0.12,0.7
ISIC_0014586.jpg,0.12,1.21,0.23,0.63
ISIC_0010844.jpg,0.21,1.49,0.24,0.66
ISIC_0015383.jpg,0.3,32.27,0.41,0.72
ISIC_0010056.jpg,0.09,1.27,0.2,0.7
ISIC_0012400.jpg,0.2,1.36,0.16,0.73
ISIC_0013874.jpg,0.11,1.73,0.12,0.72
ISIC_0008406.jpg,0.19,2.02,0.13,0.71
ISIC_0011224.jpg,0.18,1.36,0.2,0.69
ISIC_0014527.jpg,0.18,1.21,0.09,0.61
ISIC_0014780.jpg,0.23,33.58,0.23,0.66
ISIC_0013410.jpg,0.26,1.84,0.07,0.7
ISIC_0000503.jpg,0.22,4.2,0.26,0.68
