image,A,B,C,D,label
ISIC_0013223,0.12,1.73,0.12,0.61,2
ISIC_0014785,0.29,2.35,0.3,0.68,1
ISIC_0016046,0.18,8.23,0.21,0.67,1
ISIC_0013688,0.11,1.83,0.1,0.76,1
ISIC_0012238,0.06,1.18,0.08,0.61,2
ISIC_0013302,0.2,5.18,0.11,0.66,1
ISIC_0000343,0.24,1.68,0.22,0.62,1
ISIC_0011344,0.1,1.18,0.15,0.67,0
ISIC_0010088,0.21,2.11,0.22,0.65,1
ISIC_0013109,0.17,10.73,0.2,0.66,1
ISIC_0000320,0.13,1.16,0.24,0.67,1
ISIC_0014513,0.18,1.17,0.09,0.61,0
ISIC_0009430,0.08,1.22,0.16,0.6,1
ISIC_0010370,0.11,1.13,0.14,0.61,1
ISIC_0014754,0.06,1.77,0.24,0.6,1
ISIC_0010569,0.27,2.09,0.13,0.64,1
ISIC_0013695,0.27,1.97,0.15,0.72,1
ISIC_0013651,0.15,1.25,0.17,0.69,0
ISIC_0016043,0.08,1.17,0.16,0.66,1
ISIC_0015175,0.21,18.91,0.26,0.69,1
ISIC_0015996,0.22,14.24,0.08,0.61,1
ISIC_0000254,0.09,1.19,0.27,0.65,1
ISIC_0012314,0.14,1.19,0.14,0.7,2
ISIC_0012391,0.21,5.98,0.16,0.65,0
ISIC_0012290,0.15,1.99,0.15,0.73,0
ISIC_0008992,0.27,1.51,0.13,0.68,1
ISIC_0012493,0.17,1.27,0.08,0.76,1
ISIC_0014942,0.17,33.78,0.42,0.72,1
ISIC_0000000,0.18,1.67,0.31,0.72,1
ISIC_0015440,0.1,1.23,0.39,0.69,1
ISIC_0015943,0.31,11.42,0.24,0.65,1
ISIC_0010063,0.24,1.25,0.22,0.77,1
ISIC_0012898,0.1,1.17,0.05,0.67,2
ISIC_0010857,0.11,1.19,0.14,0.79,1
ISIC_0000325,0.17,1.28,0.3,0.66,1
ISIC_0015005,0.31,1.7,0.21,0.54,0
ISIC_0000271,0.15,1.18,0.31,0.68,1
ISIC_0013783,0.25,1.21,0.12,0.69,0
ISIC_0001106,0.13,1.28,0.18,0.68,0
ISIC_0000310,0.17,1.16,0.23,0.76,0
ISIC_0000056,0.21,1.23,0.21,0.64,0
ISIC_0000031,0.2,1.39,0.34,0.66,0
ISIC_0011203,0.08,1.21,0.19,0.74,1
ISIC_0014863,0.13,1.18,0.28,0.65,1
ISIC_0012654,0.28,8.21,0.12,0.68,1
ISIC_0011322,0.22,1.44,0.22,0.83,1
ISIC_0012107,0.34,2.73,0.18,0.72,1
ISIC_0010077,0.12,2.14,0.13,0.65,1
ISIC_0015563,0.14,12.46,0.29,0.66,1
ISIC_0014044,0.07,1.19,0.05,0.66,0
ISIC_0009879,0.16,1.26,0.09,0.68,1
ISIC_0014897,0.1,1.7,0.34,0.64,0
ISIC_0000179,0.16,6.05,0.27,0.71,1
ISIC_0000068,0.12,2.11,0.27,0.68,1
ISIC_0015207,0.08,1.15,0.34,0.64,1
ISIC_0014397,0.19,1.83,0.2,0.66,2
ISIC_0015966,0.24,1.28,0.11,0.71,1
ISIC_0014151,0.28,1.39,0.09,0.69,0
ISIC_0015942,0.24,3.63,0.26,0.68,1
ISIC_0011165,0.04,1.32,0.19,0.73,1
ISIC_0000198,0.14,1.45,0.13,0.59,1
ISIC_0000208,0.15,1.25,0.26,0.72,1
ISIC_0009344,0.08,1.2,0.14,0.64,1
ISIC_0012675,0.13,1.65,0.29,0.71,1
ISIC_0015255,0.22,1.2,0.27,0.87,1
ISIC_0010067,0.25,1.56,0.26,0.74,0
ISIC_0000322,0.15,1.37,0.25,0.71,1
ISIC_0015206,0.41,34.62,0.29,0.69,0
ISIC_0009995,0.34,1.19,0.16,0.91,1
ISIC_0014755,0.09,15.21,0.18,0.65,1
ISIC_0014049,0.28,2.11,0.09,0.68,0
ISIC_0000014,0.12,2.6,0.15,0.69,1
ISIC_0015237,0.11,1.16,0.28,0.75,1
ISIC_0000317,0.19,1.19,0.26,0.69,1
ISIC_0010215,0.23,1.2,0.2,0.67,1
ISIC_0012828,0.35,1.57,0.2,0.67,2
ISIC_0014428,0.07,1.65,0.21,0.61,0
ISIC_0000110,0.06,1.25,0.15,0.71,1
ISIC_0013306,0.1,1.17,0.05,0.65,1
ISIC_0012318,0.3,2.34,0.09,0.69,1
ISIC_0013177,0.17,1.26,0.23,0.65,2
ISIC_0004337,0.11,1.13,0.13,0.64,1
ISIC_0013191,0.13,1.17,0.06,0.65,1
ISIC_0013803,0.14,1.84,0.15,0.7,1
ISIC_0010852,0.27,2.06,0.32,0.69,0
ISIC_0013378,0.07,1.25,0.24,0.74,1
ISIC_0012348,0.18,1.47,0.12,0.76,0
ISIC_0014610,0.41,2.03,0.23,0.67,2
ISIC_0014957,0.29,39.36,0.44,0.75,1
ISIC_0013001,0.11,1.14,0.12,0.65,1
ISIC_0012856,0.24,1.75,0.1,0.67,2
ISIC_0010605,0.26,1.22,0.15,0.84,1
ISIC_0015136,0.24,33.68,0.26,0.71,0
ISIC_0012988,0.22,1.8,0.29,0.65,0
ISIC_0010457,0.1,1.17,0.15,0.81,1
ISIC_0012413,0.18,1.63,0.2,0.65,1
ISIC_0006114,0.38,4.87,0.1,0.68,1
ISIC_0014185,0.18,1.71,0.07,0.61,1
ISIC_0013257,0.06,1.17,0.29,0.68,1
ISIC_0009875,0.24,1.45,0.29,0.66,1
ISIC_0000351,0.12,1.37,0.3,0.73,1
ISIC_0009880,0.09,1.19,0.38,0.64,1
ISIC_0014943,0.18,23.97,0.28,0.71,1
ISIC_0000094,0.17,1.32,0.13,0.7,1
