image,A,B,C,D,label
ISIC_0000486,0.16,2.43,0.23,0.65,1
ISIC_0009599,0.21,1.44,0.1,0.71,1
ISIC_0000412,0.34,2.5,0.16,0.74,0
ISIC_0015638,0.67,64.26,0.27,0.73,1
ISIC_0000061,0.14,3.34,0.24,0.62,1
ISIC_0012453,0.27,2.02,0.08,0.7,1
ISIC_0012693,0.13,1.63,0.11,0.7,2
ISIC_0000017,0.24,3.4,0.23,0.67,1
ISIC_0012813,0.1,1.17,0.06,0.65,2
ISIC_0012803,0.4,21.43,0.16,0.69,1
ISIC_0013089,0.14,1.22,0.15,0.61,2
ISIC_0011229,0.43,10.51,0.3,0.79,1
ISIC_0015279,0.26,1.26,0.29,0.67,1
ISIC_0011230,0.49,2.59,0.29,0.65,1
ISIC_0015174,0.18,21.91,0.32,0.72,1
ISIC_0015363,0.17,1.16,0.18,0.7,1
ISIC_0010466,0.18,2.64,0.16,0.7,0
ISIC_0011390,0.28,1.41,0.15,0.54,0
ISIC_0013106,0.26,1.71,0.23,0.74,1
ISIC_0014921,0.13,22.51,0.33,0.63,1
ISIC_0011339,0.27,3.19,0.34,0.64,1
ISIC_0015593,0.14,1.22,0.29,0.69,1
ISIC_0014920,0.1,1.76,0.33,0.72,0
ISIC_0016071,0.24,8.51,0.12,0.71,1
ISIC_0001299,0.2,2.16,0.07,0.79,1
ISIC_0000332,0.14,3.95,0.27,0.66,1
ISIC_0010011,0.16,1.21,0.12,0.7,0
ISIC_0013891,0.1,1.16,0.24,0.63,1
ISIC_0000484,0.28,1.52,0.21,0.8,0
ISIC_0013394,0.14,1.7,0.17,0.62,1
ISIC_0013205,0.18,1.18,0.2,0.64,1
ISIC_0013015,0.11,1.68,0.11,0.69,1
ISIC_0000554,0.35,4.34,0.15,0.69,0
ISIC_0012177,0.14,1.62,0.26,0.74,1
ISIC_0015276,0.21,17.33,0.27,0.68,1
ISIC_0001385,0.13,1.98,0.09,0.78,1
ISIC_0013998,0.14,1.24,0.06,0.67,1
ISIC_0010319,0.24,1.24,0.18,0.7,0
ISIC_0014836,0.1,10.39,0.4,0.66,1
ISIC_0014931,0.31,2.27,0.19,0.7,0
ISIC_0013173,0.08,1.2,0.18,0.62,1
ISIC_0012108,0.21,1.83,0.14,0.62,1
ISIC_0009954,0.17,1.22,0.2,0.61,1
ISIC_0014714,0.16,1.83,0.24,0.8,1
ISIC_0000482,0.12,3.19,0.26,0.73,0
ISIC_0012487,0.45,11.85,0.09,0.7,1
ISIC_0009979,0.23,1.19,0.34,0.62,1
ISIC_0013249,0.15,1.19,0.16,0.64,1
ISIC_0011098,0.17,1.28,0.31,0.71,1
ISIC_0012878,0.14,1.73,0.08,0.66,1
ISIC_0001286,0.34,7.24,0.14,0.74,1
ISIC_0015016,0.21,27.49,0.22,0.7,1
ISIC_0010326,0.22,1.24,0.16,0.68,1
ISIC_0000183,0.24,1.26,0.23,0.71,1
ISIC_0013523,0.15,1.72,0.2,0.68,1
ISIC_0014814,0.19,18.45,0.32,0.72,1
ISIC_0011171,0.2,1.86,0.34,0.69,1
ISIC_0000442,0.3,1.35,0.24,0.75,1
ISIC_0011301,0.08,1.17,0.29,0.67,1
ISIC_0012521,0.22,1.77,0.11,0.67,1
ISIC_0014643,0.35,35.12,0.08,0.75,2
ISIC_0009951,0.18,1.2,0.1,0.65,1
ISIC_0000539,0.16,3.63,0.3,0.77,1
ISIC_0012216,0.15,1.26,0.07,0.67,1
ISIC_0013087,0.09,4.12,0.21,0.63,1
ISIC_0016068,0.33,1.38,0.18,0.68,1
ISIC_0011204,0.14,1.26,0.22,0.7,1
ISIC_0016005,0.2,1.19,0.18,0.65,1
ISIC_0013733,0.29,11.43,0.1,0.73,0
ISIC_0003728,0.17,5.24,0.1,0.6,1
ISIC_0011120,0.16,1.25,0.34,0.85,1
ISIC_0014854,0.15,27.24,0.29,0.67,1
ISIC_0010488,0.14,1.26,0.12,0.69,1
ISIC_0011348,0.1,1.16,0.18,0.79,0
ISIC_0015311,0.21,65.48,0.24,0.72,1
ISIC_0012690,0.17,1.81,0.14,0.72,1
ISIC_0010244,0.22,1.27,0.27,0.72,1
ISIC_0012288,0.19,1.86,0.14,0.67,0
ISIC_0011163,0.25,1.26,0.37,0.71,0
ISIC_0015030,0.15,45.72,0.29,0.71,1
ISIC_0000378,0.15,1.22,0.19,0.66,1
ISIC_0009942,0.07,1.15,0.23,0.63,1
ISIC_0010589,0.18,1.3,0.27,0.66,1
ISIC_0012182,0.13,1.65,0.23,0.67,1
ISIC_0009967,0.11,2.34,0.16,0.71,1
ISIC_0009889,0.23,2.33,0.24,0.64,1
ISIC_0000091,0.06,1.16,0.08,0.66,1
ISIC_0016033,0.16,10.98,0.12,0.61,1
ISIC_0000283,0.25,2.56,0.38,0.64,0
ISIC_0013140,0.24,1.71,0.16,0.64,1
ISIC_0015009,0.04,3.33,0.15,0.76,1
ISIC_0011218,0.11,1.13,0.21,0.62,1
ISIC_0000088,0.25,12.5,0.32,0.68,1
ISIC_0016016,0.11,1.19,0.13,0.67,1
ISIC_0007156,0.05,1.13,0.26,0.63,1
ISIC_0012284,0.23,1.97,0.2,0.64,1
ISIC_0015496,0.08,1.69,0.47,0.67,1
ISIC_0000224,0.17,1.26,0.33,0.68,1
ISIC_0014225,0.32,9.51,0.13,0.69,1
ISIC_0014164,0.16,2.01,0.09,0.72,1
ISIC_0013748,0.22,1.9,0.11,0.61,1
ISIC_0014983,0.17,1.9,0.31,0.68,0
ISIC_0007796,0.1,1.16,0.19,0.67,1
ISIC_0011360,0.1,1.18,0.25,0.79,1
ISIC_0014222,0.36,1.3,0.13,0.68,0
ISIC_0014316,0.24,2.09,0.09,0.67,0
ISIC_0009883,0.25,2.85,0.28,0.58,1
ISIC_0010862,0.11,1.18,0.44,0.61,0
ISIC_0014651,0.2,1.79,0.11,0.67,2
ISIC_0015232,0.09,1.16,0.36,0.64,1
ISIC_0009914,0.18,2.59,0.24,0.76,1
ISIC_0000510,0.27,1.32,0.26,0.62,1
ISIC_0010452,0.17,4.33,0.21,0.68,1
ISIC_0015056,0.26,29.0,0.17,0.73,1
ISIC_0000143,0.1,1.22,0.31,0.71,0
ISIC_0013399,0.14,1.2,0.14,0.66,1
ISIC_0000328,0.22,1.22,0.18,0.63,1
ISIC_0015139,0.12,10.86,0.31,0.66,1
ISIC_0011298,0.16,1.86,0.28,0.69,1
ISIC_0012417,0.27,2.17,0.09,0.66,2
ISIC_0014453,0.09,1.68,0.08,0.7,1
ISIC_0000500,0.16,1.34,0.21,0.76,1
ISIC_0000420,0.16,1.68,0.26,0.72,0
ISIC_0013689,0.13,1.67,0.13,0.68,1
ISIC_0014778,0.12,1.7,0.26,0.68,1
ISIC_0013224,0.23,1.68,0.16,0.67,1
ISIC_0013053,0.25,1.67,0.07,0.66,1
ISIC_0015218,0.17,41.56,0.4,0.65,1
ISIC_0013886,0.36,4.74,0.2,0.63,1
ISIC_0012089,0.44,1.54,0.14,0.73,1
ISIC_0000080,0.07,2.44,0.27,0.64,1
ISIC_0012930,0.51,2.15,0.23,0.64,0
ISIC_0014173,0.31,19.54,0.22,0.67,0
ISIC_0000013,0.1,1.93,0.42,0.66,0
ISIC_0015416,0.25,1.25,0.29,0.75,1
ISIC_0014346,0.19,1.77,0.13,0.67,1
ISIC_0014394,0.15,1.9,0.16,0.72,1
ISIC_0015274,0.24,1.2,0.23,0.89,1
ISIC_0003582,0.12,1.23,0.25,0.7,1
ISIC_0001367,0.17,2.59,0.16,0.68,1
ISIC_0013796,0.15,1.55,0.19,0.71,1
ISIC_0012901,0.19,1.76,0.26,0.67,1
ISIC_0000492,0.19,4.8,0.08,0.67,1
ISIC_0000069,0.17,2.71,0.17,0.68,1
ISIC_0000522,0.49,9.6,0.14,0.76,0
ISIC_0012222,0.25,1.58,0.21,0.68,1
ISIC_0009956,0.12,2.34,0.21,0.72,1
ISIC_0000493,0.26,2.84,0.23,0.78,1
ISIC_0010226,0.11,1.17,0.16,0.66,1
ISIC_0013747,0.08,1.14,0.12,0.62,1
ISIC_0013007,0.14,1.76,0.16,0.65,1
ISIC_0011158,0.12,1.18,0.22,0.71,0
ISIC_0010490,0.15,1.19,0.13,0.61,1
ISIC_0013572,0.24,1.89,0.07,0.72,0
ISIC_0015032,0.19,1.83,0.25,0.66,2
ISIC_0000385,0.14,7.39,0.24,0.61,1
ISIC_0013806,0.08,1.6,0.13,0.66,1
ISIC_0001242,0.14,2.67,0.11,0.71,1
ISIC_0012865,0.11,1.84,0.14,0.67,1
ISIC_0000555,0.25,3.19,0.1,0.74,0
ISIC_0000287,0.24,3.14,0.23,0.69,0
ISIC_0013667,0.27,2.1,0.12,0.66,2
ISIC_0012105,0.17,1.68,0.25,0.68,1
ISIC_0011132,0.07,1.15,0.2,0.62,0
ISIC_0014081,0.17,2.01,0.11,0.79,1
ISIC_0012673,0.15,1.81,0.16,0.75,1
ISIC_0000323,0.15,1.23,0.12,0.59,1
ISIC_0014740,0.18,29.94,0.19,0.67,1
ISIC_0000023,0.15,2.58,0.17,0.63,1
ISIC_0000490,0.18,1.27,0.2,0.63,1
ISIC_0012464,0.19,1.19,0.19,0.6,1
ISIC_0012720,0.25,1.95,0.12,0.64,2
ISIC_0000498,0.14,1.35,0.25,0.72,1
ISIC_0010238,0.12,1.15,0.23,0.65,1
ISIC_0010863,0.19,1.42,0.24,0.66,0
ISIC_0014117,0.32,11.61,0.13,0.62,1
ISIC_0012245,0.13,1.18,0.05,0.64,2
ISIC_0000341,0.19,1.37,0.25,0.69,1
ISIC_0014955,0.15,22.77,0.22,0.64,1
ISIC_0015108,0.33,2.2,0.22,0.68,2
ISIC_0013526,0.17,2.09,0.28,0.69,1
ISIC_0000016,0.21,1.46,0.28,0.61,1
ISIC_0016066,0.16,1.16,0.1,0.61,1
ISIC_0014800,0.26,11.45,0.17,0.64,0
ISIC_0014652,0.07,1.24,0.22,0.76,2
ISIC_0000190,0.21,1.43,0.36,0.69,1
ISIC_0013712,0.13,1.7,0.1,0.64,1
ISIC_0013789,0.2,1.75,0.16,0.7,1
ISIC_0000506,0.07,1.16,0.2,0.63,1
ISIC_0014473,0.2,1.21,0.16,0.73,1
ISIC_0012495,0.14,1.69,0.05,0.68,1
ISIC_0002206,0.08,1.13,0.08,0.63,1
ISIC_0014839,0.19,2.06,0.24,0.66,1
ISIC_0000900,0.1,1.2,0.08,0.68,1
ISIC_0011097,0.21,2.83,0.18,0.67,1
ISIC_0012178,0.52,51.45,0.08,0.69,2
ISIC_0014994,0.12,12.67,0.21,0.63,1
ISIC_0014066,0.14,2.01,0.07,0.77,1
ISIC_0010256,0.15,1.61,0.25,0.61,1
ISIC_0016006,0.11,1.16,0.13,0.63,1
ISIC_0014915,0.21,2.33,0.26,0.69,1
ISIC_0000139,0.11,1.21,0.25,0.64,0
ISIC_0014001,0.12,1.76,0.07,0.63,1
ISIC_0011225,0.19,2.32,0.2,0.66,1
ISIC_0001185,0.15,1.19,0.1,0.68,1
ISIC_0013311,0.09,1.58,0.15,0.62,1
ISIC_0011359,0.3,3.64,0.13,0.75,1
ISIC_0014723,0.13,1.84,0.22,0.65,2
ISIC_0012663,0.15,1.7,0.27,0.64,1
ISIC_0001254,0.13,2.44,0.15,0.66,1
ISIC_0014973,0.12,1.2,0.35,0.71,1
ISIC_0010448,0.19,1.15,0.11,0.71,1
ISIC_0012990,0.24,1.78,0.25,0.65,0
ISIC_0010350,0.16,4.93,0.28,0.58,0
ISIC_0012369,0.16,1.2,0.08,0.65,0
ISIC_0014876,0.2,1.2,0.38,0.64,1
ISIC_0014830,0.14,1.49,0.21,0.65,1
ISIC_0011304,0.17,3.1,0.24,0.71,1
ISIC_0013346,0.28,1.3,0.1,0.65,1
ISIC_0014708,0.19,2.01,0.24,0.62,1
ISIC_0000021,0.35,5.48,0.15,0.61,1
ISIC_0009931,0.24,3.79,0.25,0.64,1
ISIC_0010607,0.23,2.44,0.13,0.69,1
ISIC_0014217,0.25,2.33,0.12,0.72,0
ISIC_0010333,0.09,1.2,0.37,0.7,1
ISIC_0015464,0.23,1.25,0.35,0.67,1
ISIC_0015998,0.23,18.27,0.23,0.68,1
ISIC_0000213,0.23,2.22,0.3,0.7,1
ISIC_0011393,0.35,4.78,0.14,0.62,1
ISIC_0009921,0.2,1.23,0.23,0.73,1
ISIC_0013635,0.18,1.93,0.08,0.61,2
ISIC_0010497,0.13,1.18,0.19,0.68,1
ISIC_0012395,0.32,7.94,0.13,0.64,0
ISIC_0012786,0.14,1.15,0.11,0.61,2
ISIC_0000319,0.26,1.27,0.26,0.67,1
ISIC_0000119,0.17,3.69,0.27,0.67,1
ISIC_0016029,0.15,1.19,0.04,0.67,1
ISIC_0005666,0.1,1.23,0.1,0.73,1
ISIC_0000059,0.22,1.35,0.35,0.66,1
ISIC_0014919,0.12,1.82,0.2,0.67,0
ISIC_0014802,0.18,5.75,0.33,0.59,1
ISIC_0009948,0.1,1.13,0.16,0.7,1
ISIC_0012390,0.36,1.58,0.06,0.75,2
ISIC_0016019,0.12,1.18,0.16,0.61,1
ISIC_0000338,0.25,3.62,0.36,0.68,1
ISIC_0011211,0.24,2.0,0.2,0.74,1
ISIC_0014724,0.18,1.94,0.25,0.79,1
ISIC_0006800,0.12,4.39,0.14,0.66,1
ISIC_0010587,0.1,1.84,0.32,0.7,0
ISIC_0000127,0.1,1.29,0.21,0.67,1
ISIC_0014790,0.49,1.29,0.24,0.9,0
ISIC_0015041,0.24,12.66,0.32,0.7,0
ISIC_0011367,0.09,1.14,0.13,0.61,1
ISIC_0009947,0.16,1.17,0.22,0.69,1
ISIC_0000025,0.26,6.03,0.13,0.6,1
ISIC_0015008,0.38,16.32,0.24,0.93,1
ISIC_0014029,0.12,1.87,0.16,0.67,2
ISIC_0012510,0.39,1.24,0.1,0.89,2
ISIC_0001960,0.4,20.23,0.06,0.73,1
ISIC_0014548,0.07,1.19,0.07,0.73,0
ISIC_0014248,0.37,9.01,0.07,0.65,1
ISIC_0000403,0.23,3.0,0.15,0.68,1
ISIC_0012324,0.12,1.74,0.14,0.67,1
ISIC_0014857,0.15,1.81,0.21,0.69,0
ISIC_0000379,0.2,1.5,0.26,0.75,1
ISIC_0000233,0.06,1.81,0.23,0.79,1
ISIC_0000030,0.11,1.26,0.39,0.65,0
ISIC_0013606,0.24,1.68,0.13,0.73,0
ISIC_0013833,0.31,1.28,0.1,0.83,0
ISIC_0012156,0.23,1.9,0.16,0.74,1
ISIC_0013364,0.15,1.69,0.18,0.66,2
ISIC_0010445,0.26,1.45,0.19,0.81,1
ISIC_0015062,0.06,4.88,0.36,0.84,2
ISIC_0013562,0.14,1.68,0.09,0.66,1
ISIC_0009937,0.15,1.35,0.19,0.75,1
ISIC_0000314,0.14,3.18,0.29,0.61,0
ISIC_0013169,0.25,1.2,0.17,0.68,2
ISIC_0012538,0.24,1.93,0.17,0.74,1
ISIC_0010327,0.1,1.14,0.17,0.67,1
ISIC_0015133,0.17,1.17,0.45,0.63,0
ISIC_0005639,0.08,1.17,0.16,0.69,1
ISIC_0014773,0.27,22.44,0.29,0.69,1
ISIC_0009898,0.28,1.31,0.31,0.69,0
ISIC_0010592,0.25,2.8,0.27,0.67,1
ISIC_0000131,0.03,1.61,0.22,0.61,1
ISIC_0013129,0.06,1.14,0.13,0.62,2
ISIC_0011095,0.3,1.32,0.33,0.69,0
ISIC_0010187,0.24,3.48,0.26,0.68,1
ISIC_0013637,0.12,1.71,0.06,0.64,2
ISIC_0000392,0.12,1.2,0.14,0.66,1
ISIC_0010041,0.37,1.2,0.13,0.79,1
ISIC_0000358,0.15,1.13,0.2,0.63,1
ISIC_0015144,0.07,1.7,0.26,0.65,1
ISIC_0012203,0.21,1.64,0.18,0.67,1
ISIC_0011295,0.18,1.25,0.3,0.74,0
ISIC_0015946,0.23,7.34,0.16,0.76,1
ISIC_0013581,0.24,1.85,0.07,0.77,0
ISIC_0010169,0.37,1.24,0.29,0.86,1
ISIC_0010183,0.21,5.71,0.23,0.62,1
ISIC_0000122,0.1,1.2,0.18,0.69,1
ISIC_0000150,0.34,1.6,0.28,0.66,0
ISIC_0000521,0.08,1.37,0.24,0.81,0
ISIC_0015625,0.15,29.84,0.28,0.63,1
ISIC_0001190,0.14,1.2,0.12,0.64,1
ISIC_0000507,0.14,1.73,0.19,0.69,1
ISIC_0015510,0.14,18.35,0.25,0.58,1
ISIC_0000101,0.09,2.26,0.18,0.65,1
ISIC_0014658,0.17,1.86,0.35,0.67,1
ISIC_0013147,0.12,1.76,0.17,0.75,1
ISIC_0013691,0.1,1.79,0.08,0.62,2
ISIC_0015962,0.24,8.71,0.14,0.65,1
ISIC_0014577,0.25,2.05,0.06,0.63,2
ISIC_0014879,0.1,7.14,0.34,0.62,1
ISIC_0015972,0.17,8.88,0.12,0.61,1
ISIC_0014912,0.64,216.6,0.26,0.88,0
ISIC_0012253,0.18,1.84,0.04,0.7,1
ISIC_0016014,0.21,4.94,0.14,0.68,1
ISIC_0000457,0.12,3.82,0.19,0.66,1
ISIC_0012311,0.13,1.29,0.09,0.7,1
ISIC_0000184,0.16,1.23,0.29,0.67,1
ISIC_0014080,0.19,1.78,0.16,0.74,1
ISIC_0013491,0.12,1.73,0.16,0.62,0
ISIC_0009918,0.22,1.23,0.28,0.65,0
ISIC_0013835,0.1,1.21,0.05,0.7,1
ISIC_0012793,0.2,1.82,0.17,0.76,1
ISIC_0014834,0.14,1.82,0.21,0.65,1
ISIC_0010047,0.14,1.32,0.09,0.73,1
ISIC_0014765,0.24,76.78,0.24,0.69,1
ISIC_0014360,0.29,2.0,0.11,0.65,0
ISIC_0000481,0.36,1.51,0.22,0.84,1
ISIC_0012666,0.19,1.6,0.2,0.66,2
ISIC_0000282,0.3,1.33,0.18,0.62,0
ISIC_0015241,0.24,21.33,0.26,0.69,1
ISIC_0014713,0.17,1.91,0.32,0.66,1
ISIC_0000290,0.18,1.44,0.29,0.69,0
ISIC_0010024,0.18,1.28,0.22,0.74,0
ISIC_0013652,0.35,1.51,0.1,0.66,0
ISIC_0010071,0.13,1.27,0.28,0.81,1
ISIC_0012316,0.14,1.72,0.2,0.66,1
ISIC_0000329,0.09,1.17,0.28,0.62,1
ISIC_0000413,0.3,1.82,0.15,0.74,0
ISIC_0009992,0.24,1.26,0.28,0.71,0
ISIC_0013685,0.13,1.4,0.12,0.48,2
ISIC_0006651,0.22,3.83,0.11,0.62,1
ISIC_0015270,0.1,1.18,0.37,0.63,1
ISIC_0015060,0.14,1.16,0.31,0.66,1
ISIC_0014324,0.14,1.29,0.09,0.77,0
ISIC_0010006,0.09,1.2,0.32,0.69,1
ISIC_0013602,0.2,1.2,0.13,0.68,1
ISIC_0011300,0.34,1.21,0.41,0.88,1
ISIC_0012126,0.11,1.72,0.24,0.73,1
ISIC_0010225,0.27,3.64,0.19,0.67,0
ISIC_0000469,0.26,7.83,0.17,0.68,0
ISIC_0013288,0.3,1.85,0.09,0.63,1
ISIC_0000354,0.2,4.56,0.21,0.72,1
ISIC_0000226,0.12,1.21,0.39,0.65,1
ISIC_0012374,0.14,2.17,0.12,0.74,1
ISIC_0014475,0.22,6.37,0.13,0.69,1
ISIC_0011373,0.43,1.3,0.19,0.88,1
ISIC_0011386,0.13,1.16,0.45,0.62,1
ISIC_0014933,0.08,1.65,0.32,0.65,1
ISIC_0000491,0.13,3.76,0.21,0.68,1
ISIC_0000355,0.16,1.19,0.19,0.68,1
ISIC_0013962,0.12,1.56,0.09,0.68,1
ISIC_0010340,0.21,2.83,0.2,0.76,1
ISIC_0001128,0.11,1.25,0.27,0.71,0
ISIC_0000015,0.34,4.68,0.26,0.64,1
ISIC_0006982,0.12,1.25,0.09,0.69,1
ISIC_0000027,0.14,4.08,0.18,0.64,1
ISIC_0014760,0.09,1.77,0.24,0.8,1
ISIC_0012669,0.13,1.19,0.19,0.67,1
ISIC_0010060,0.23,1.31,0.12,0.72,1
ISIC_0011168,0.27,2.3,0.21,0.67,1
ISIC_0012358,0.33,18.07,0.1,0.72,2
ISIC_0015485,0.18,18.89,0.3,0.71,1
ISIC_0013291,0.24,16.85,0.15,0.66,1
ISIC_0014286,0.14,1.66,0.18,0.69,1
ISIC_0008207,0.19,5.34,0.15,0.69,1
ISIC_0014503,0.07,1.12,0.13,0.63,2
ISIC_0009933,0.14,1.16,0.37,0.6,1
ISIC_0011143,0.26,1.56,0.22,0.68,1
ISIC_0013805,0.12,1.18,0.15,0.64,1
ISIC_0010058,0.2,1.19,0.21,0.63,1
ISIC_0000185,0.12,1.72,0.15,0.69,1
ISIC_0010360,0.2,1.36,0.2,0.7,0
ISIC_0000536,0.37,2.01,0.19,0.63,1
ISIC_0014989,0.17,1.89,0.32,0.66,1
ISIC_0010248,0.04,1.14,0.13,0.67,1
ISIC_0013739,0.19,1.31,0.14,0.71,0
ISIC_0015023,0.06,1.17,0.45,0.66,1
ISIC_0014958,0.31,1.5,0.45,0.76,1
ISIC_0002488,0.21,2.75,0.07,0.67,1
ISIC_0000480,0.25,9.27,0.21,0.65,1
ISIC_0003559,0.13,1.23,0.16,0.66,1
ISIC_0015142,0.23,1.19,0.36,0.7,0
ISIC_0008785,0.12,1.19,0.13,0.63,1
ISIC_0015034,0.08,5.99,0.25,0.66,1
ISIC_0015037,0.12,31.35,0.27,0.67,1
ISIC_0014255,0.19,1.2,0.16,0.66,0
ISIC_0015219,0.1,1.83,0.29,0.65,0
ISIC_0000189,0.19,1.2,0.25,0.69,1
ISIC_0009888,0.18,4.02,0.18,0.64,1
ISIC_0011121,0.41,1.63,0.27,0.93,0
ISIC_0013498,0.23,1.92,0.24,0.68,1
ISIC_0012230,0.2,1.67,0.15,0.66,1
ISIC_0013096,0.2,10.34,0.21,0.7,1
ISIC_0000082,0.18,2.25,0.29,0.68,1
ISIC_0012484,0.1,1.21,0.1,0.61,1
ISIC_0015260,0.16,2.03,0.27,0.73,2
ISIC_0012309,0.27,1.8,0.15,0.7,1
ISIC_0005555,0.19,1.3,0.15,0.69,1
ISIC_0012272,0.15,1.25,0.13,0.76,2
ISIC_0012706,0.13,1.23,0.15,0.67,1
ISIC_0015245,0.09,1.17,0.2,0.64,1
ISIC_0011326,0.23,1.5,0.15,0.75,1
ISIC_0002806,0.12,8.2,0.08,0.7,1
ISIC_0014327,0.33,1.47,0.15,0.63,0
ISIC_0015566,0.13,1.21,0.36,0.68,1
ISIC_0009860,0.34,3.08,0.16,0.75,1
ISIC_0013034,0.28,1.47,0.07,0.6,2
ISIC_0013815,0.21,2.02,0.15,0.61,0
ISIC_0013578,0.68,3.54,0.11,0.73,0
ISIC_0011081,0.18,1.19,0.12,0.67,1
ISIC_0011144,0.26,1.32,0.34,0.68,1
ISIC_0001372,0.13,1.79,0.12,0.7,1
ISIC_0014586,0.12,1.21,0.23,0.63,2
ISIC_0010844,0.21,1.49,0.24,0.66,1
ISIC_0015383,0.3,32.27,0.41,0.72,1
ISIC_0010056,0.09,1.27,0.2,0.7,0
ISIC_0012400,0.2,1.36,0.16,0.73,1
ISIC_0013874,0.11,1.73,0.12,0.72,0
ISIC_0008406,0.19,2.02,0.13,0.71,1
ISIC_0011224,0.18,1.36,0.2,0.69,1
ISIC_0014527,0.18,1.21,0.09,0.61,0
ISIC_0014780,0.23,33.58,0.23,0.66,1
ISIC_0013410,0.26,1.84,0.07,0.7,1
ISIC_0000503,0.22,4.2,0.26,0.68,1
ISIC_0013567,0.1,1.17,0.04,0.66,0
ISIC_0015020,0.2,1.21,0.26,0.68,1
ISIC_0000097,0.11,3.71,0.23,0.75,1
ISIC_0000344,0.27,1.72,0.2,0.65,1
ISIC_0004346,0.09,1.17,0.1,0.66,1
ISIC_0001871,0.1,1.58,0.1,0.68,1
ISIC_0010182,0.32,2.57,0.2,0.78,1
ISIC_0000029,0.12,2.86,0.27,0.64,0
ISIC_0010231,0.35,1.88,0.16,0.72,0
ISIC_0012205,0.16,1.77,0.22,0.68,1
ISIC_0013342,0.14,1.68,0.21,0.68,1
ISIC_0000093,0.07,1.52,0.17,0.68,1
ISIC_0010086,0.36,4.75,0.23,0.71,1
ISIC_0014150,0.16,1.86,0.14,0.68,1
ISIC_0015170,0.17,2.11,0.18,0.63,2
ISIC_0015993,0.25,6.42,0.2,0.72,1
ISIC_0016054,0.12,1.15,0.12,0.67,1
ISIC_0012903,0.15,5.36,0.29,0.64,1
ISIC_0000050,0.19,1.44,0.17,0.69,1
ISIC_0014969,0.08,1.2,0.43,0.66,1
ISIC_0014748,0.15,1.82,0.26,0.69,1
ISIC_0015254,0.11,1.17,0.33,0.68,1
ISIC_0012256,0.27,1.27,0.03,0.67,1
ISIC_0013189,0.42,1.29,0.17,0.68,2
ISIC_0013334,0.16,1.18,0.2,0.66,0
ISIC_0013126,0.13,1.69,0.22,0.72,1
ISIC_0014156,0.25,4.68,0.15,0.72,0
ISIC_0010449,0.1,1.49,0.14,0.63,1
ISIC_0013621,0.17,2.09,0.1,0.71,2
ISIC_0009923,0.26,3.74,0.18,0.66,1
ISIC_0014707,0.19,1.98,0.23,0.69,1
ISIC_0013165,0.14,1.98,0.07,0.73,2
ISIC_0010846,0.12,1.18,0.12,0.63,1
ISIC_0011140,0.3,2.37,0.19,0.68,0
ISIC_0015956,0.15,1.33,0.28,0.71,1
