image,A,B,C,D
ISIC_0011101.jpg,0.08,1.18,0.34,0.63
ISIC_0000294.jpg,0.17,1.36,0.2,0.81
ISIC_0011228.jpg,0.2,1.28,0.2,0.75
ISIC_0013863.jpg,0.25,1.25,0.13,0.69
ISIC_0012725.jpg,0.12,1.55,0.11,0.68
ISIC_0007528.jpg,0.08,1.17,0.14,0.67
ISIC_0000186.jpg,0.06,1.16,0.24,0.64
ISIC_0012378.jpg,0.12,1.74,0.16,0.77
ISIC_0012320.jpg,0.15,1.74,0.2,0.67
ISIC_0016061.jpg,0.11,1.14,0.32,0.62
ISIC_0013794.jpg,0.15,5.42,0.22,0.7
ISIC_0000288.jpg,0.14,1.42,0.3,0.83
ISIC_0013000.jpg,0.16,1.17,0.11,0.66
ISIC_0010176.jpg,0.22,3.08,0.26,0.72
ISIC_0014807.jpg,0.2,21.98,0.25,0.9
ISIC_0000519.jpg,0.15,1.4,0.22,0.69
ISIC_0000393.jpg,0.3,1.29,0.16,0.71
ISIC_0014853.jpg,0.21,11.79,0.31,0.68
ISIC_0014872.jpg,0.25,1.28,0.17,0.83
ISIC_0014573.jpg,0.26,9.42,0.08,0.77
ISIC_0000538.jpg,0.17,2.45,0.36,0.69
ISIC_0012099.jpg,0.12,1.68,0.33,0.73
ISIC_0011384.jpg,0.13,1.31,0.29,0.72
ISIC_0013235.jpg,0.12,1.71,0.15,0.73
ISIC_0000138.jpg,0.1,1.15,0.31,0.65
ISIC_0012768.jpg,0.15,1.29,0.12,0.61
ISIC_0015961.jpg,0.25,7.82,0.17,0.64
ISIC_0013603.jpg,0.08,1.64,0.19,0.65
ISIC_0014288.jpg,0.1,1.17,0.08,0.65
ISIC_0013922.jpg,0.13,1.85,0.14,0.72
ISIC_0014775.jpg,0.28,1.73,0.29,0.75
ISIC_0013383.jpg,0.1,1.52,0.13,0.65
ISIC_0014907.jpg,0.07,1.19,0.27,0.66
ISIC_0010368.jpg,0.2,1.98,0.25,0.69
ISIC_0014525.jpg,0.11,1.28,0.12,0.66
ISIC_0014675.jpg,0.33,38.18,0.21,0.63
ISIC_0013416.jpg,0.21,9.9,0.29,0.69
ISIC_0013948.jpg,0.27,1.21,0.22,0.66
ISIC_0000523.jpg,0.07,3.21,0.15,0.6
ISIC_0000161.jpg,0.17,1.53,0.45,0.73
ISIC_0011128.jpg,0.14,1.3,0.11,0.69
ISIC_0010023.jpg,0.2,1.41,0.28,0.69
ISIC_0012826.jpg,0.15,1.85,0.15,0.63
ISIC_0000350.jpg,0.15,1.51,0.31,0.74
ISIC_0011167.jpg,0.11,1.23,0.14,0.75
ISIC_0009902.jpg,0.15,1.21,0.2,0.7
ISIC_0010570.jpg,0.49,1.84,0.34,0.84
ISIC_0010177.jpg,0.17,1.89,0.19,0.65
ISIC_0015447.jpg,0.43,1.29,0.18,0.92
ISIC_0009938.jpg,0.11,1.19,0.12,0.67
ISIC_0000120.jpg,0.14,2.14,0.23,0.67
ISIC_0011227.jpg,0.08,1.15,0.13,0.62
ISIC_0016053.jpg,0.17,12.35,0.19,0.66
ISIC_0015999.jpg,0.22,9.29,0.19,0.63
ISIC_0000232.jpg,0.14,1.65,0.28,0.63
ISIC_0009906.jpg,0.17,2.41,0.12,0.66
ISIC_0016009.jpg,0.15,1.19,0.15,0.62
ISIC_0015291.jpg,0.16,28.89,0.37,0.64
ISIC_0015007.jpg,0.17,24.09,0.23,0.69
ISIC_0014253.jpg,0.14,1.65,0.15,0.69
ISIC_0013136.jpg,0.15,1.57,0.08,0.64
ISIC_0012489.jpg,0.21,1.26,0.17,0.63
ISIC_0010480.jpg,0.06,1.19,0.32,0.71
ISIC_0015293.jpg,0.27,53.57,0.29,0.6
ISIC_0009987.jpg,0.13,1.27,0.37,0.74
ISIC_0000330.jpg,0.09,1.24,0.37,0.67
ISIC_0011372.jpg,0.26,3.39,0.29,0.65
ISIC_0012999.jpg,0.17,1.55,0.2,0.8
ISIC_0014946.jpg,0.11,1.69,0.36,0.6
ISIC_0014684.jpg,0.25,4.01,0.24,0.65
ISIC_0014666.jpg,0.38,1.28,0.3,0.66
ISIC_0014904.jpg,0.21,2.05,0.16,0.65
ISIC_0000434.jpg,0.21,1.49,0.24,0.69
ISIC_0002616.jpg,0.16,1.19,0.07,0.68
ISIC_0013577.jpg,0.79,86.79,0.07,0.57
ISIC_0015264.jpg,0.13,20.57,0.27,0.67
ISIC_0000012.jpg,0.18,1.89,0.18,0.64
ISIC_0016026.jpg,0.31,7.64,0.12,0.61
ISIC_0014937.jpg,0.11,1.53,0.32,0.74
ISIC_0000173.jpg,0.24,1.5,0.37,0.72
ISIC_0010036.jpg,0.33,3.88,0.13,0.7
ISIC_0009904.jpg,0.12,1.23,0.24,0.74
ISIC_0012435.jpg,0.11,1.6,0.12,0.66
ISIC_0013427.jpg,0.18,1.72,0.12,0.7
ISIC_0016052.jpg,0.14,1.19,0.06,0.65
ISIC_0014804.jpg,0.08,1.66,0.28,0.63
ISIC_0013740.jpg,0.15,1.23,0.12,0.67
ISIC_0013385.jpg,0.13,1.82,0.16,0.71
ISIC_0014026.jpg,0.1,1.7,0.11,0.67
ISIC_0015153.jpg,0.19,1.22,0.28,0.75
ISIC_0001296.jpg,0.23,13.66,0.06,0.77
ISIC_0010014.jpg,0.24,1.26,0.46,0.62
ISIC_0012726.jpg,0.18,1.57,0.12,0.68
ISIC_0012503.jpg,0.25,2.06,0.13,0.63
ISIC_0014433.jpg,0.41,2.61,0.13,0.66
ISIC_0014353.jpg,0.15,1.6,0.14,0.73
ISIC_0002459.jpg,0.08,1.18,0.17,0.7
ISIC_0008993.jpg,0.21,1.36,0.11,0.74
ISIC_0013879.jpg,0.07,1.57,0.05,0.7
ISIC_0011092.jpg,0.16,1.18,0.36,0.66
ISIC_0014768.jpg,0.14,27.49,0.26,0.6
ISIC_0010267.jpg,0.32,1.38,0.18,0.71
ISIC_0014441.jpg,0.27,1.72,0.05,0.64
ISIC_0010332.jpg,0.27,1.27,0.25,0.65
ISIC_0015948.jpg,0.07,1.17,0.19,0.66
ISIC_0011297.jpg,0.33,4.34,0.26,0.66
ISIC_0000342.jpg,0.17,1.36,0.3,0.63
ISIC_0015166.jpg,0.14,1.92,0.23,0.66
ISIC_0013465.jpg,0.12,3.98,0.13,0.67
ISIC_0007344.jpg,0.24,1.4,0.18,0.7
ISIC_0000155.jpg,0.11,1.21,0.41,0.62
ISIC_0000077.jpg,0.21,1.2,0.16,0.67
ISIC_0013778.jpg,0.2,2.71,0.1,0.77
ISIC_0014722.jpg,0.21,1.88,0.27,0.67
ISIC_0010232.jpg,0.08,1.3,0.09,0.78
ISIC_0000292.jpg,0.14,1.39,0.2,0.68
ISIC_0002647.jpg,0.2,11.77,0.13,0.7
ISIC_0015026.jpg,0.12,10.44,0.34,0.64
ISIC_0000223.jpg,0.17,3.94,0.25,0.85
ISIC_0012481.jpg,0.1,3.47,0.16,0.63
ISIC_0014769.jpg,0.16,1.69,0.22,0.63
ISIC_0010861.jpg,0.26,2.96,0.16,0.62
ISIC_0009974.jpg,0.16,1.15,0.32,0.62
ISIC_0000349.jpg,0.21,4.73,0.22,0.59
ISIC_0014178.jpg,0.38,1.95,0.19,0.7
ISIC_0009035.jpg,0.06,1.17,0.1,0.64
ISIC_0012211.jpg,0.23,1.79,0.16,0.62
ISIC_0010186.jpg,0.08,1.21,0.16,0.72
ISIC_0000504.jpg,0.21,1.16,0.16,0.62
ISIC_0000146.jpg,0.11,1.2,0.31,0.65
ISIC_0015161.jpg,0.13,19.44,0.2,0.7
ISIC_0013244.jpg,0.09,2.02,0.21,0.78
ISIC_0013359.jpg,0.22,1.2,0.1,0.67
ISIC_0000020.jpg,0.22,5.04,0.27,0.75
ISIC_0014762.jpg,0.28,1.7,0.28,0.83
ISIC_0001442.jpg,0.08,1.15,0.17,0.66
ISIC_0000123.jpg,0.09,1.3,0.23,0.72
ISIC_0000053.jpg,0.19,1.24,0.31,0.65
ISIC_0012298.jpg,0.26,1.74,0.08,0.69
ISIC_0010494.jpg,0.12,1.22,0.37,0.69
ISIC_0013977.jpg,0.14,1.22,0.11,0.7
ISIC_0010330.jpg,0.41,6.58,0.11,0.77
ISIC_0000531.jpg,0.39,5.1,0.11,0.59
ISIC_0012095.jpg,0.11,1.21,0.22,0.67
ISIC_0015071.jpg,0.26,1.33,0.42,0.66
ISIC_0013517.jpg,0.17,1.62,0.09,0.76
ISIC_0006193.jpg,0.12,1.22,0.18,0.66
ISIC_0012334.jpg,0.15,1.73,0.15,0.63
ISIC_0015989.jpg,0.09,1.18,0.25,0.66
ISIC_0014838.jpg,0.21,2.17,0.29,0.68
ISIC_0012155.jpg,0.07,1.22,0.07,0.7
ISIC_0015223.jpg,0.09,5.98,0.27,0.62
ISIC_0011378.jpg,0.17,2.79,0.3,0.74
ISIC_0000444.jpg,0.39,5.97,0.16,0.59
ISIC_0011131.jpg,0.32,5.11,0.27,0.68
ISIC_0014522.jpg,0.29,1.69,0.27,0.62
ISIC_0000121.jpg,0.07,1.18,0.08,0.62
ISIC_0013056.jpg,0.16,1.26,0.04,0.69
ISIC_0000470.jpg,0.36,3.5,0.24,0.63
ISIC_0008659.jpg,0.13,1.79,0.07,0.75
ISIC_0014542.jpg,0.08,1.2,0.15,0.67
ISIC_0013772.jpg,0.17,1.73,0.11,0.65
ISIC_0010018.jpg,0.09,1.73,0.36,0.68
ISIC_0013340.jpg,0.35,12.7,0.1,0.69
ISIC_0013112.jpg,0.22,1.73,0.13,0.63
ISIC_0013155.jpg,0.23,1.58,0.27,0.69
ISIC_0014763.jpg,0.13,1.37,0.31,0.71
ISIC_0000252.jpg,0.17,2.71,0.24,0.64
ISIC_0009868.jpg,0.23,1.29,0.28,0.67
ISIC_0010365.jpg,0.22,3.0,0.28,0.66
